claypyramid, claypyramid, 137, 472, 95, 1189, 117
claypyramid, claypyramid, 170, 457, 129, 1122, 132
claypyramid, claypyramid, 176, 591, 135, 991, 117
claypyramid, claypyramid, 148, 446, 116, 1162, 138
claypyramid, claypyramid, 187, 619, 135, 958, 111
claypyramid, claypyramid, 249, 627, 154, 842, 138
claypyramid, claypyramid, 132, 555, 95, 1123, 105
claypyramid, claypyramid, 145, 625, 109, 1004, 127
claypyramid, claypyramid, 114, 585, 69, 1122, 120
claypyramid, claypyramid, 122, 653, 87, 1034, 114
claypyramid, claypyramid, 120, 666, 86, 1017, 121
claypyramid, claypyramid, 209, 666, 171, 852, 112
claypyramid, claypyramid, 118, 644, 83, 1044, 121
claypyramid, claypyramid, 116, 635, 81, 1053, 125
claypyramid, claypyramid, 125, 689, 99, 991, 106
claypyramid, claypyramid, 119, 677, 84, 1017, 113
claypyramid, claypyramid, 147, 717, 132, 899, 115
claypyramid, claypyramid, 121, 612, 80, 1070, 127
claypyramid, claypyramid, 163, 726, 129, 873, 119
claypyramid, claypyramid, 116, 608, 77, 1088, 121
